order_date,city,category,product_name,quantity,final_amount,feedback_sentiment,customer_rating,delivery_time_minutes,customer_id,order_hour,price_per_unit,sentiment_score,customer_age
2024-01-01,Mumbai,Fruits,Apple,3,119.56,Positive,5,24,CUST5865,12,39.85333333333333,1,25
2024-01-01,Chennai,Bakery,Bread,2,161.37,Positive,4,44,CUST8291,20,80.685,1,34
2024-01-01,Kolkata,Dairy,Milk,2,168.32,Positive,5,25,CUST5272,16,84.16,1,26
2024-01-01,Bengaluru,Beverages,Tea,6,223.28,Negative,1,32,CUST6714,13,37.21333333333333,-1,49
2024-01-01,Delhi,Fruits,Banana,1,315.72,Positive,4,49,CUST2128,12,315.72,1,23
2024-01-01,Delhi,Fruits,Apple,2,135.49,Positive,5,23,CUST1054,16,67.745,1,57
2024-01-01,Delhi,Snacks,Chips,5,253.47,Positive,5,32,CUST1257,16,50.694,1,38
2024-01-01,Chennai,Dairy,Butter,2,258.16,Positive,5,14,CUST1651,9,129.08,1,24
2024-01-01,Bengaluru,Fruits,Apple,4,127.47,Positive,4,48,CUST5537,13,31.8675,1,24
2024-01-01,Kolkata,Dairy,Butter,3,140.31,Positive,5,36,CUST7449,8,46.77,1,56
2024-01-01,Delhi,Beverages,Tea,3,233.4,Positive,4,37,CUST6959,7,77.8,1,44
2024-01-01,Chennai,Snacks,Biscuit,3,236.31,Neutral,4,62,CUST3654,17,78.77,0,25
2024-01-01,Chennai,Bakery,Cookies,1,288.11,Positive,5,14,CUST6841,11,288.11,1,26
2024-01-01,Delhi,Beverages,Tea,1,245.69,Positive,5,41,CUST2138,7,245.69,1,45
2024-01-01,Delhi,Dairy,Milk,4,154.14,Positive,5,24,CUST6645,6,38.535,1,32
2024-01-01,Delhi,Dairy,Milk,4,220.48,Negative,3,63,CUST9907,17,55.12,-1,19
2024-01-01,Mumbai,Beverages,Juice,2,180.38,Positive,5,28,CUST4891,17,90.19,1,24
2024-01-01,Bengaluru,Dairy,Butter,4,106.55,Positive,5,58,CUST7771,22,26.6375,1,35
2024-01-01,Mumbai,Bakery,Cookies,2,259.7,Positive,4,25,CUST3160,15,129.85,1,39
2024-01-01,Mumbai,Bakery,Cake,2,252.24,Neutral,3,33,CUST4092,21,126.12,0,27
2024-01-01,Bengaluru,Dairy,Butter,3,210.99,Positive,4,21,CUST9697,20,70.33,1,50
2024-01-01,Delhi,Dairy,Butter,3,313.12,Positive,5,17,CUST3645,20,104.37333333333333,1,24
2024-01-01,Mumbai,Bakery,Cookies,2,150.95,Positive,4,47,CUST9460,17,75.475,1,20
2024-01-01,Mumbai,Dairy,Milk,2,275.27,Positive,4,54,CUST4238,8,137.635,1,31
2024-01-01,Bengaluru,Fruits,Mango,2,179.18,Positive,5,25,CUST5823,10,89.59,1,53
2024-01-01,Kolkata,Snacks,Nuts,1,246.45,Positive,5,45,CUST7484,12,246.45,1,30
2024-01-01,Delhi,Fruits,Banana,2,272.91,Positive,5,52,CUST4666,14,136.455,1,33
2024-01-01,Bengaluru,Dairy,Cheese,3,173.4,Positive,4,27,CUST8056,12,57.800000000000004,1,33
2024-01-01,Bengaluru,Dairy,Butter,1,186.39,Positive,4,15,CUST1376,9,186.39,1,22
2024-01-01,Delhi,Snacks,Chips,3,240.51,Negative,3,45,CUST2062,19,80.17,-1,42
2024-01-01,Bengaluru,Dairy,Cheese,1,162.8,Neutral,4,41,CUST4186,14,162.8,0,55
2024-01-01,Delhi,Snacks,Chips,1,254.48,Neutral,3,34,CUST5180,7,254.48,0,55
2024-01-01,Delhi,Bakery,Bread,3,224.22,Neutral,4,32,CUST7028,20,74.74,0,55
2024-01-01,Chennai,Snacks,Nuts,4,239.35,Positive,4,36,CUST8680,12,59.8375,1,56
2024-01-01,Chennai,Snacks,Nuts,7,178.81,Positive,5,24,CUST6257,17,25.544285714285714,1,58
2024-01-02,Chennai,Fruits,Mango,2,175.96,Neutral,3,49,CUST1202,13,87.98,0,43
2024-01-02,Mumbai,Dairy,Cheese,3,142.79,Positive,4,24,CUST7504,20,47.596666666666664,1,30
2024-01-02,Delhi,Bakery,Cake,2,234.97,Neutral,3,38,CUST8697,8,117.485,0,43
2024-01-02,Kolkata,Beverages,Tea,4,153.53,Negative,2,18,CUST7106,19,38.3825,-1,18
2024-01-02,Mumbai,Snacks,Biscuit,1,202.25,Positive,5,41,CUST7181,22,202.25,1,25
2024-01-02,Delhi,Beverages,Tea,3,262.27,Negative,1,33,CUST9573,9,87.42333333333333,-1,21
2024-01-02,Bengaluru,Dairy,Milk,6,322.68,Positive,5,51,CUST6534,13,53.78,1,38
2024-01-02,Delhi,Snacks,Nuts,1,238.63,Negative,2,24,CUST6070,9,238.63,-1,39
2024-01-02,Chennai,Beverages,Tea,4,225.13,Positive,5,19,CUST8793,7,56.2825,1,54
2024-01-02,Mumbai,Fruits,Apple,3,146.33,Neutral,4,38,CUST9571,11,48.77666666666667,0,20
2024-01-02,Kolkata,Beverages,Coffee,3,193.93,Neutral,3,14,CUST7354,15,64.64333333333333,0,36
2024-01-02,Mumbai,Fruits,Banana,2,196.23,Neutral,3,52,CUST9873,9,98.115,0,18
2024-01-02,Bengaluru,Bakery,Bread,3,241.84,Positive,4,56,CUST9299,17,80.61333333333333,1,46
2024-01-02,Bengaluru,Dairy,Cheese,4,201.9,Positive,5,44,CUST7438,7,50.475,1,40
2024-01-02,Delhi,Beverages,Coffee,1,333.81,Neutral,4,25,CUST3161,15,333.81,0,50
2024-01-02,Chennai,Snacks,Nuts,3,247.55,Positive,5,40,CUST9264,9,82.51666666666667,1,58
2024-01-02,Kolkata,Dairy,Butter,4,260.42,Positive,4,27,CUST9181,19,65.105,1,40
2024-01-02,Chennai,Beverages,Juice,4,247.55,Positive,5,57,CUST2196,21,61.8875,1,22
2024-01-02,Chennai,Snacks,Chips,3,165.38,Positive,4,41,CUST5419,20,55.126666666666665,1,24
2024-01-02,Bengaluru,Snacks,Nuts,2,188.86,Negative,1,55,CUST8098,13,94.43,-1,23
2024-01-02,Chennai,Snacks,Nuts,4,193.37,Neutral,3,50,CUST4185,19,48.3425,0,39
2024-01-02,Delhi,Snacks,Nuts,6,285.48,Neutral,3,41,CUST1813,13,47.580000000000005,0,30
2024-01-02,Delhi,Beverages,Tea,3,275.21,Positive,5,41,CUST1306,21,91.73666666666666,1,29
2024-01-02,Delhi,Bakery,Bread,7,237.57,Positive,4,35,CUST9550,18,33.93857142857143,1,21
2024-01-02,Mumbai,Fruits,Banana,3,232.77,Positive,4,49,CUST8693,20,77.59,1,25
2024-01-02,Mumbai,Fruits,Banana,2,257.08,Neutral,4,48,CUST7239,18,128.54,0,54
2024-01-02,Mumbai,Fruits,Mango,2,137.62,Neutral,3,55,CUST9356,14,68.81,0,48
2024-01-02,Chennai,Bakery,Bread,5,227.44,Neutral,3,38,CUST6480,20,45.488,0,54
2024-01-02,Mumbai,Snacks,Nuts,4,137.74,Negative,2,27,CUST7384,18,34.435,-1,43
2024-01-02,Mumbai,Snacks,Nuts,1,206.37,Positive,5,44,CUST8387,6,206.37,1,25
2024-01-02,Bengaluru,Dairy,Cheese,3,269.65,Positive,5,44,CUST7140,12,89.88333333333333,1,57
2024-01-02,Delhi,Fruits,Banana,1,167.3,Positive,4,32,CUST2822,14,167.3,1,50
2024-01-02,Chennai,Fruits,Banana,5,292.57,Neutral,3,47,CUST8125,6,58.513999999999996,0,46
2024-01-02,Delhi,Snacks,Nuts,4,260.4,Positive,4,50,CUST1546,17,65.1,1,22
